Disease	Type 2 diabetes	Rank_Type 2 diabetes
HG00479	0.3068	0.022
HG00500	0.5999	0.1466
HG00513	0.6501	0.1717
HG00524	1.2526	0.4445
HG00525	0.8958	0.3027
HG00530	0.421	0.0675
HG00531	0.3437	0.0323
HG00533	0.4596	0.0867
HG00534	1.8154	0.635
HG00536	2.5646	0.7831
HG00537	0.2959	0.0188
HG00542	0.2104	0.0056
HG00543	3.7374	0.8878
HG00551	0.3868	0.0507
HG00553	1.1027	0.3846
HG00554	2.2885	0.7344
HG00556	0.4706	0.0923
HG00557	0.7378	0.2244
HG00559	0.6594	0.1761
HG00560	0.4513	0.0823
HG00565	0.6866	0.1921
HG00566	0.6039	0.1486
HG00580	1.1285	0.3938
HG00581	1.6706	0.5986
HG00583	0.9492	0.3251
HG00584	0.4203	0.0671
HG00589	0.7241	0.2173
HG00590	0.4231	0.0683
HG00592	0.6801	0.1877
HG00593	0.335	0.0288
HG00595	0.7559	0.2348
HG00596	0.4658	0.0895
HG00598	0.7032	0.2017
HG00599	0.4251	0.0691
HG00607	2.4915	0.7712
HG00608	0.5802	0.1366
HG00610	1.0492	0.3642
HG00611	0.9829	0.3379
HG00613	0.3935	0.0543
HG00614	1.1705	0.4093
HG00619	1.33	0.4796
HG00620	3.0771	0.8411
HG00622	0.6957	0.1973
HG00623	1.2706	0.4533
HG00625	0.9841	0.3391
HG00626	0.5315	0.1146
HG00628	0.6792	0.1873
HG00629	0.4577	0.0851
HG00631	1.0259	0.3554
HG00632	0.8216	0.2684
HG00634	0.225	0.0072
HG00637	1.5719	0.5671
HG00638	0.6187	0.1562
HG00640	1.2671	0.4521
HG00641	3.9432	0.9026
HG00650	0.3402	0.0308
HG00651	0.7433	0.228
HG00653	1.758	0.6222
HG00654	1.7674	0.6234
HG00656	0.8331	0.2736
HG00657	0.5687	0.1298
HG00662	0.4821	0.099
HG00663	1.0574	0.367
HG00671	0.4986	0.1038
HG00672	0.6584	0.1757
HG00674	0.5353	0.1166
HG00675	0.7534	0.234
HG00683	0.4024	0.0579
HG00684	0.7149	0.2113
HG00689	2.0251	0.6853
HG00690	0.7759	0.2468
HG00692	2.4727	0.7676
HG00693	2.838	0.8179
HG00698	1.4282	0.514
HG00699	1.3241	0.4764
HG00701	0.3455	0.0335
HG00704	0.9353	0.3159
HG00705	1.7764	0.6246
HG00707	0.9013	0.3055
HG00708	0.3228	0.0252
HG00717	1.0901	0.3806
HG00728	0.7275	0.2192
HG00729	0.3344	0.0284
HG00731	0.799	0.2568
HG00732	2.1815	0.7169
HG00734	25.3125	0.9996
HG00736	1.92	0.6633
HG00737	1.109	0.387
HG00739	2.2871	0.7336
HG00740	0.6607	0.1773
HG00742	1.0036	0.3462
HG00743	0.3872	0.0511
HG00759	1.7552	0.6218
HG00766	2.3305	0.7416
HG00844	0.6284	0.1609
HG00851	1.6563	0.595
HG00864	0.9633	0.3299
HG00867	1.8333	0.6426
HG00879	0.5371	0.1186
HG00881	3.466	0.8702
HG00956	1.2249	0.4313
HG00978	2.8645	0.8211
HG00982	0.7215	0.2145
HG01028	1.0063	0.3482
HG01029	1.2433	0.4409
HG01031	1.0869	0.3794
HG01046	1.8784	0.6526
HG01047	0.8458	0.278
HG01048	1.155	0.4034
HG01049	5.5284	0.9501
HG01051	4.1837	0.9121
HG01052	0.4485	0.0791
HG01054	0.6332	0.1629
HG01055	0.2545	0.0112
HG01058	1.1889	0.4161
HG01060	1.4859	0.5339
HG01061	0.6415	0.1653
HG01063	1.326	0.4776
HG01064	1.0091	0.3494
HG01066	4.4491	0.9233
HG01067	0.4927	0.1014
HG01069	1.0823	0.3774
HG01070	4.4727	0.9241
HG01072	1.3599	0.492
HG01073	1.2289	0.4341
HG01075	0.9908	0.3423
HG01077	2.2247	0.7228
HG01079	0.7217	0.2149
HG01080	0.8282	0.2696
HG01082	2.0516	0.6889
HG01083	1.3782	0.4988
HG01085	1.0935	0.3814
HG01086	2.4252	0.7592
HG01088	1.2761	0.4577
HG01089	2.109	0.7033
HG01092	0.4679	0.0903
HG01094	0.7735	0.2456
HG01095	1.4698	0.5288
HG01097	1.3683	0.4952
HG01098	2.1475	0.7113
HG01101	1.6601	0.5958
HG01102	0.5423	0.121
HG01104	0.7961	0.2548
HG01105	1.8386	0.6442
HG01107	0.7055	0.2037
HG01108	1.5223	0.5495
HG01110	1.8921	0.6573
HG01111	0.6876	0.1941
HG01112	6.4961	0.9665
HG01113	3.6201	0.8806
HG01119	1.1278	0.3934
HG01121	0.7631	0.2388
HG01122	1.3318	0.4808
HG01124	0.5692	0.1302
HG01125	1.1488	0.401
HG01130	0.8848	0.2955
HG01131	0.8836	0.2947
HG01133	2.278	0.732
HG01134	0.4689	0.0911
HG01136	1.4348	0.5164
HG01137	1.0727	0.3742
HG01139	2.5464	0.7796
HG01140	0.5577	0.127
HG01142	2.5115	0.774
HG01148	0.6599	0.1765
HG01149	0.7309	0.2208
HG01161	1.4947	0.5399
HG01162	0.5232	0.1126
HG01164	0.9442	0.3223
HG01167	2.1276	0.7077
HG01168	1.0037	0.3466
HG01170	1.6898	0.605
HG01171	1.3275	0.478
HG01173	0.3359	0.0296
HG01174	1.2706	0.4533
HG01176	1.2795	0.4597
HG01177	3.8023	0.8906
HG01182	1.0041	0.3474
HG01183	0.7223	0.2165
HG01187	0.9642	0.3307
HG01188	2.889	0.8231
HG01190	0.4533	0.0827
HG01191	1.5294	0.5519
HG01197	0.4031	0.0583
HG01198	0.6164	0.1542
HG01200	0.4106	0.0611
HG01204	8.1605	0.9836
HG01205	1.3332	0.4816
HG01241	4.2832	0.9149
HG01242	1.0037	0.3466
HG01247	2.1344	0.7085
HG01248	3.3515	0.8598
HG01250	3.1171	0.845
HG01251	0.8602	0.2843
HG01253	1.0076	0.3486
HG01254	2.7472	0.8051
HG01256	0.7183	0.2129
HG01257	0.3966	0.0559
HG01259	0.5356	0.117
HG01260	12.6013	0.9936
HG01269	1.5649	0.5635
HG01271	3.3344	0.8586
HG01272	1.1455	0.3998
HG01275	7.1793	0.9764
HG01277	0.8461	0.2784
HG01280	1.1424	0.397
HG01281	0.8107	0.2624
HG01284	0.5656	0.1286
HG01286	1.5053	0.5439
HG01302	0.5942	0.1434
HG01303	2.0592	0.6917
HG01305	3.1261	0.8454
HG01308	4.0144	0.905
HG01311	8.0406	0.9828
HG01312	1.4391	0.518
HG01323	1.5311	0.5527
HG01325	0.2926	0.0176
HG01326	1.0579	0.3678
HG01334	0.7579	0.2364
HG01341	3.0661	0.8395
HG01342	6.4857	0.9657
HG01344	4.3833	0.9205
HG01345	1.9381	0.6701
HG01348	3.0855	0.8415
HG01350	1.4914	0.5375
HG01351	1.5189	0.5487
HG01353	1.7732	0.6242
HG01354	0.553	0.125
HG01356	0.3636	0.0407
HG01357	0.8932	0.3003
HG01359	0.9568	0.3295
HG01360	2.5829	0.7855
HG01362	2.4626	0.7652
HG01363	1.4986	0.5407
HG01365	4.3241	0.9169
HG01366	3.7584	0.889
HG01369	1.269	0.4529
HG01372	0.4714	0.0938
HG01374	7.0322	0.974
HG01375	2.534	0.7772
HG01377	1.5462	0.5579
