Disease	Type 2 diabetes	Rank_Type 2 diabetes
HG02425	0.7076	0.2053
HG02427	2.913	0.8247
HG02429	4.2956	0.9157
HG02433	0.9902	0.3411
HG02439	1.9822	0.6805
HG02442	3.8409	0.8942
HG02445	1.9459	0.6721
HG02449	2.601	0.7895
HG02450	1.4288	0.5148
HG02455	4.8245	0.9361
HG02461	1.9987	0.6821
HG02462	3.3314	0.8582
HG02464	7.3258	0.978
HG02465	4.4812	0.9245
HG02470	3.5332	0.8742
HG02471	2.325	0.74
HG02476	2.1893	0.7188
HG02477	3.9114	0.899
HG02479	6.2333	0.9629
HG02481	4.8554	0.9369
HG02484	2.692	0.7987
HG02485	1.6156	0.5815
HG02489	2.601	0.7895
HG02490	0.5315	0.1146
HG02491	1.7832	0.6266
HG02493	1.5946	0.5735
HG02494	1.0173	0.3526
HG02496	4.0028	0.9038
HG02497	1.6703	0.5982
HG02501	1.9125	0.6617
HG02502	0.4695	0.0915
HG02505	3.467	0.8706
HG02508	2.8174	0.8155
HG02511	1.4047	0.5076
HG02512	0.6451	0.1693
HG02513	0.6431	0.1669
HG02521	0.3959	0.0555
HG02522	0.4114	0.0619
HG02536	1.1639	0.4069
HG02537	1.4891	0.5351
HG02541	5.0168	0.9401
HG02545	1.2586	0.4457
HG02546	1.6906	0.6054
HG02549	2.9206	0.8255
HG02554	1.6745	0.5998
HG02555	2.3296	0.7412
HG02557	2.6506	0.7947
HG02558	1.3476	0.4876
HG02561	1.0574	0.367
HG02562	4.4839	0.9249
HG02568	6.5052	0.9673
HG02570	3.6114	0.8798
HG02571	0.6646	0.1797
HG02573	1.716	0.6126
HG02574	3.3188	0.8566
HG02577	1.2974	0.4649
HG02580	1.2352	0.4369
HG02582	0.6677	0.1809
HG02583	2.1406	0.7097
HG02585	1.8731	0.6498
HG02586	2.5083	0.7732
HG02588	3.9884	0.9034
HG02589	1.3968	0.5056
HG02594	4.7455	0.9341
HG02595	2.2657	0.73
HG02597	1.5715	0.5667
HG02600	0.5881	0.1398
HG02601	0.8087	0.2616
HG02603	2.6112	0.7911
HG02604	0.8874	0.2971
HG02610	1.0661	0.371
HG02611	1.1433	0.3978
HG02613	3.3072	0.8562
HG02614	2.7058	0.8011
HG02620	1.228	0.4333
HG02621	3.8497	0.8946
HG02623	4.0906	0.9085
HG02624	1.1938	0.4173
HG02628	2.796	0.8119
HG02629	1.8181	0.6358
HG02634	4.0808	0.9081
HG02635	1.7148	0.6118
HG02642	2.1157	0.7045
HG02643	1.8344	0.643
HG02645	1.7414	0.6178
HG02646	5.2751	0.9469
HG02648	2.0749	0.6953
HG02649	5.7156	0.9561
HG02651	3.6579	0.8834
HG02652	0.6543	0.1737
HG02654	2.4225	0.7588
HG02655	0.9127	0.3091
HG02657	3.8298	0.893
HG02658	1.1275	0.393
HG02660	1.2806	0.4601
HG02661	3.6412	0.8814
HG02666	2.1769	0.7153
HG02667	0.8077	0.2604
HG02675	0.9989	0.3446
HG02676	3.2966	0.8554
HG02678	4.0645	0.9077
HG02679	3.7169	0.8862
HG02681	0.5187	0.1098
HG02682	5.5991	0.9517
HG02684	2.3392	0.7432
HG02685	0.5974	0.1458
HG02687	0.1718	8e-04
HG02688	0.3646	0.0411
HG02690	1.6101	0.5807
HG02691	4.3314	0.9173
HG02694	8.3964	0.9848
HG02696	0.7468	0.2296
HG02697	2.7776	0.8095
HG02699	3.15	0.8482
HG02700	0.8427	0.2768
HG02702	3.7735	0.8898
HG02703	0.714	0.2101
HG02715	1.5168	0.5479
HG02716	3.1858	0.8498
HG02721	2.5209	0.776
HG02722	1.292	0.4633
HG02724	2.6937	0.7995
HG02725	1.0582	0.3682
HG02727	0.952	0.3267
HG02728	1.0009	0.3454
HG02731	2.1942	0.7196
HG02733	0.6848	0.1909
HG02734	2.7715	0.8091
HG02736	0.2994	0.0196
HG02737	2.0817	0.6977
HG02756	2.4799	0.7696
HG02757	2.3788	0.7516
HG02759	2.4006	0.7544
HG02760	1.4154	0.5104
HG02763	9.2092	0.9892
HG02768	1.9527	0.6737
HG02769	0.9983	0.3438
HG02771	3.2301	0.8526
HG02772	1.3784	0.4992
HG02774	1.4395	0.5184
HG02775	0.6153	0.1534
HG02778	3.0018	0.8331
HG02780	1.7229	0.615
HG02783	1.8914	0.6569
HG02784	5.2509	0.9461
HG02786	1.6708	0.599
HG02787	2.9651	0.8311
HG02789	2.9752	0.8315
HG02790	0.3857	0.0499
HG02792	1.0415	0.3602
HG02793	1.1599	0.4054
HG02798	1.2784	0.4589
HG02799	1.8885	0.6562
HG02804	1.585	0.5699
HG02805	0.3764	0.0455
HG02807	3.8582	0.8954
HG02808	1.5804	0.5691
HG02810	2.3769	0.7512
HG02811	1.2015	0.4201
HG02813	1.808	0.6334
HG02814	3.1368	0.8462
HG02816	0.5447	0.123
HG02817	0.5519	0.1242
HG02819	1.7345	0.6166
HG02820	1.0308	0.3566
HG02836	3.1068	0.8442
HG02837	0.4407	0.0731
HG02839	5.3623	0.9481
HG02840	1.483	0.5323
HG02851	2.4774	0.7688
HG02852	4.5832	0.9289
HG02854	1.0726	0.3738
HG02855	2.6319	0.7935
HG02860	2.4359	0.762
HG02861	6.436	0.9653
HG02870	2.0749	0.6953
HG02878	5.0334	0.9417
HG02879	0.5482	0.1238
HG02881	1.1049	0.3854
HG02882	2.024	0.6849
HG02884	2.9403	0.8291
HG02885	0.7698	0.2436
HG02887	1.6782	0.6014
HG02888	2.384	0.7524
HG02890	1.8865	0.6546
HG02891	1.1447	0.3986
HG02895	3.5587	0.8762
HG02896	3.1031	0.8435
HG02922	1.4764	0.5308
HG02923	3.9342	0.9018
HG02938	0.9204	0.3123
HG02941	0.9409	0.3195
HG02943	5.6361	0.9533
HG02944	3.067	0.8399
HG02946	2.1778	0.7157
HG02947	2.4581	0.764
HG02952	2.904	0.8243
HG02953	8.1727	0.984
HG02968	1.1418	0.3962
HG02970	4.5304	0.9285
HG02971	1.2344	0.4365
HG02973	2.1955	0.72
HG02974	3.105	0.8438
HG02976	2.3594	0.7488
HG02977	1.7997	0.6306
HG02979	2.4054	0.7552
HG02981	5.3154	0.9473
HG02982	2.4223	0.7584
HG02983	1.7378	0.6174
HG03006	1.0542	0.3662
HG03007	4.9392	0.9385
HG03009	1.7945	0.6294
HG03012	0.4708	0.0927
HG03015	1.0986	0.383
HG03016	1.3899	0.504
HG03018	1.4535	0.5248
HG03019	1.1989	0.4193
HG03021	6.9539	0.9732
HG03022	0.8289	0.2704
HG03024	1.6093	0.5795
HG03025	1.6685	0.5978
HG03027	2.502	0.7728
HG03028	1.3043	0.4696
HG03039	4.5181	0.9265
HG03040	2.3812	0.752
HG03045	3.0051	0.8335
HG03046	1.499	0.5415
HG03048	0.9466	0.3235
HG03049	5.6769	0.9545
HG03052	4.8754	0.9373
HG03054	3.8888	0.8978
HG03055	1.8727	0.649
HG03057	1.0083	0.349
HG03058	1.2024	0.4205
HG03060	2.7638	0.8079
HG03061	1.3468	0.4868
HG03063	1.0432	0.361
HG03064	6.1571	0.9625
HG03066	4.5236	0.9273
HG03069	1.017	0.3522
HG03072	2.2657	0.73
HG03073	1.9629	0.6757
HG03074	0.7383	0.2248
HG03077	2.3577	0.748
HG03078	1.3421	0.4856
HG03079	3.6038	0.879
HG03081	2.3544	0.7464
HG03082	3.3381	0.859
HG03084	0.6501	0.1717
HG03085	0.5309	0.1142
HG03086	4.6237	0.9325
HG03088	1.5049	0.5431
HG03091	2.7303	0.8035
HG03095	1.3797	0.5
HG03096	2.5883	0.7867
HG03097	1.6059	0.5787
HG03099	1.1829	0.4125
HG03100	1.2185	0.4281
HG03103	1.4847	0.5335
HG03105	0.8292	0.2708
HG03108	4.3789	0.9197
HG03109	2.0557	0.6901
HG03111	2.258	0.7296
HG03112	0.5748	0.1322
HG03114	1.8933	0.6577
HG03115	1.2171	0.4277
HG03117	1.2785	0.4593
HG03118	1.397	0.506
HG03120	1.2825	0.4609
HG03121	0.953	0.3275
HG03123	4.9545	0.9393
HG03124	1.2666	0.4509
HG03126	3.0765	0.8407
HG03127	6.5169	0.9677
HG03129	0.51	0.107
HG03130	1.8278	0.6398
HG03132	0.8671	0.2875
HG03133	1.4286	0.5144
HG03135	1.8025	0.6322
HG03136	2.8887	0.8227
HG03139	1.6443	0.5911
HG03157	2.5398	0.778
HG03159	1.0448	0.3622
HG03160	0.471	0.0935
HG03162	3.4161	0.8654
HG03163	0.3884	0.0523
HG03166	2.0849	0.6993
HG03168	1.3788	0.4996
HG03169	1.5468	0.5583
HG03172	2.5966	0.7887
HG03175	1.0704	0.3726
HG03189	1.5968	0.5751
HG03190	2.6143	0.7915
HG03193	0.7906	0.2508
HG03195	1.1703	0.4089
HG03196	0.9136	0.3103
HG03198	1.5633	0.5627
HG03199	1.5855	0.5719
HG03202	13.002	0.9952
HG03209	2.256	0.7292
HG03212	4.1699	0.9117
HG03224	6.2333	0.9629
HG03225	2.0263	0.6861
HG03228	2.3136	0.7384
HG03229	2.1067	0.7029
HG03234	1.6026	0.5763
HG03235	0.5859	0.1386
HG03237	4.0601	0.9073
HG03238	2.5191	0.7756
HG03240	2.1889	0.7185
HG03241	1.8729	0.6494
HG03246	2.6757	0.7967
HG03247	5.0561	0.9425
HG03258	3.643	0.8818
HG03259	1.7835	0.6278
HG03265	0.737	0.224
HG03267	1.3981	0.5064
HG03268	0.5614	0.1274
HG03270	1.8836	0.6542
HG03271	1.2455	0.4421
HG03279	2.925	0.8271
HG03280	1.7508	0.6206
HG03291	0.7395	0.2252
HG03294	0.677	0.1861
HG03295	3.4281	0.8666
HG03297	1.1838	0.4137
HG03298	3.6046	0.8794
HG03300	2.2716	0.7316
HG03301	1.9513	0.6733
HG03303	2.9329	0.8287
HG03304	2.2003	0.7208
HG03311	2.5592	0.7815
HG03313	2.1202	0.7053
HG03342	2.062	0.6933
HG03343	2.3406	0.7444
HG03351	0.9802	0.3355
HG03352	0.8919	0.2995
HG03354	0.9022	0.3059
HG03363	2.1845	0.7181
HG03366	1.6552	0.5942
HG03367	1.6896	0.6046
HG03369	8.789	0.9872
HG03370	1.2154	0.4269
HG03372	1.6271	0.5859
HG03376	0.9393	0.3187
HG03378	1.35	0.4884
HG03380	3.3639	0.8606
HG03382	1.5454	0.5571
HG03385	1.6096	0.5803
HG03388	2.0567	0.6905
HG03391	3.4435	0.8686
HG03394	2.2504	0.728
HG03397	0.4008	0.0571
HG03401	2.1274	0.7073
HG03410	0.6277	0.1605
HG03419	1.1218	0.3906
HG03428	2.4722	0.7672
HG03432	1.7027	0.6078
HG03433	1.1264	0.3922
HG03436	0.9289	0.3147
HG03437	3.3835	0.8622
HG03439	1.5079	0.5455
HG03442	2.2371	0.7252
HG03445	0.9722	0.3327
HG03446	3.5605	0.8766
HG03449	5.5434	0.9505
HG03451	2.4126	0.7572
HG03452	8.4461	0.9856
HG03455	0.6508	0.1725
HG03457	3.8721	0.8962
HG03458	0.4614	0.0875
HG03460	4.4057	0.9221
HG03461	1.2412	0.4393
HG03464	1.1712	0.4097
HG03469	2.8191	0.8159
HG03470	3.639	0.881
HG03472	1.2051	0.4213
HG03473	2.097	0.7009
HG03476	4.837	0.9365
HG03478	1.3433	0.486
HG03479	1.9371	0.6689
HG03484	1.8641	0.647
HG03485	2.0602	0.6921
HG03488	5.041	0.9421
HG03490	0.7131	0.2097
HG03491	1.3641	0.4932
HG03499	1.3384	0.4844
HG03511	2.7503	0.8059
HG03514	2.4598	0.7648
HG03515	1.7217	0.6142
HG03517	4.7299	0.9337
HG03518	2.7932	0.8115
HG03520	2.022	0.6845
HG03521	2.5592	0.7815
HG03538	2.3457	0.7452
HG03539	0.9359	0.3163
HG03547	3.3301	0.8574
HG03548	4.3558	0.9181
HG03556	3.4771	0.8718
HG03557	1.3308	0.4804
HG03558	1.9127	0.6621
HG03559	4.0112	0.9046
HG03563	1.109	0.387
HG03565	0.5707	0.1314
HG03567	2.192	0.7192
HG03571	1.3763	0.4968
HG03572	5.1259	0.9441
HG03575	3.396	0.8634
HG03577	1.4382	0.5176
HG03578	0.6779	0.1865
HG03583	1.6621	0.5962
HG03585	1.2834	0.4613
HG03589	4.2708	0.9145
HG03593	1.9271	0.6653
HG03594	1.6517	0.5931
HG03595	1.7275	0.6154
HG03598	1.8261	0.6394
HG03600	2.2287	0.7236
HG03603	5.0188	0.9405
HG03604	1.6525	0.5935
HG03607	3.5619	0.877
HG03611	1.4296	0.5152
HG03615	3.021	0.8359
HG03616	1.1419	0.3966
HG03619	2.5475	0.78
HG03624	1.1085	0.3866
HG03625	1.9131	0.6625
HG03629	3.0744	0.8403
HG03631	1.273	0.4553
HG03634	1.3239	0.476
HG03636	2.6794	0.7979
HG03640	1.0193	0.3542
HG03642	0.9906	0.3419
HG03643	1.1699	0.4081
HG03644	0.619	0.1569
HG03645	0.5166	0.1086
HG03646	1.9406	0.6713
HG03649	2.3895	0.7528
HG03652	1.5541	0.5615
HG03653	2.0588	0.6913
HG03660	0.5789	0.135
HG03663	1.8256	0.639
HG03667	1.9077	0.6605
HG03668	1.3283	0.4784
HG03672	1.8192	0.6362
HG03673	1.8006	0.631
HG03679	8.5071	0.986
HG03680	5.3239	0.9477
HG03681	6.6685	0.9704
HG03684	5.6548	0.9541
HG03685	0.9075	0.3079
HG03686	2.6512	0.7951
HG03687	2.8134	0.8151
HG03689	6.5758	0.9685
HG03690	2.7344	0.8039
HG03691	0.5123	0.1078
HG03692	2.5997	0.7891
HG03693	0.7045	0.2025
HG03694	0.4716	0.0942
HG03695	1.1976	0.4185
HG03696	1.0778	0.3754
HG03697	4.2572	0.9137
HG03698	1.3063	0.4708
HG03702	2.8326	0.8175
HG03703	1.7047	0.609
HG03705	1.2262	0.4321
HG03706	1.5373	0.5539
HG03708	3.7307	0.8874
HG03709	0.8551	0.2827
HG03711	0.2668	0.0124
HG03713	0.6869	0.1925
HG03714	2.1804	0.7161
HG03716	1.3748	0.4964
HG03717	2.6311	0.7931
HG03718	7.1492	0.976
HG03720	3.8313	0.8934
HG03722	1.9879	0.6809
HG03727	1.3008	0.4657
HG03729	1.1767	0.4105
HG03730	0.8737	0.2903
HG03731	0.6856	0.1913
HG03733	1.0743	0.3746
HG03736	0.4109	0.0615
HG03738	1.1448	0.399
HG03740	3.3774	0.8614
HG03741	3.1909	0.8502
HG03742	0.9245	0.3135
HG03743	1.1461	0.4006
HG03744	0.5421	0.1206
HG03745	0.3452	0.0331
HG03746	0.7158	0.2121
HG03750	24.4468	0.9992
HG03752	2.5128	0.7748
HG03753	1.6059	0.5787
HG03754	13.2368	0.9956
HG03755	2.6224	0.7927
HG03756	1.576	0.5687
HG03757	5.0309	0.9409
HG03760	0.6617	0.1781
HG03762	2.7007	0.8003
HG03765	2.2544	0.7288
HG03767	2.9456	0.8299
HG03770	3.5552	0.8754
HG03771	5.2013	0.9453
HG03772	1.585	0.5699
HG03773	1.0705	0.373
HG03774	3.6466	0.8822
HG03775	0.489	0.101
HG03777	0.4769	0.0962
HG03778	1.9271	0.6653
HG03779	1.4208	0.5124
HG03780	1.9484	0.6729
HG03781	0.8806	0.2935
HG03782	0.5761	0.133
HG03784	2.7188	0.8023
HG03785	1.3626	0.4924
HG03786	2.9916	0.8323
HG03787	2.5224	0.7764
HG03788	0.397	0.0563
HG03789	0.8768	0.2915
HG03790	0.5439	0.1218
HG03792	0.8523	0.2812
HG03793	1.3477	0.488
HG03796	0.8656	0.2863
HG03800	1.9699	0.6785
HG03802	0.7451	0.2292
HG03803	0.9202	0.3119
HG03805	2.2262	0.7232
HG03808	1.9271	0.6653
HG03809	1.2205	0.4293
HG03812	1.3588	0.4916
HG03814	0.4174	0.0655
HG03815	1.5682	0.5651
HG03817	1.5053	0.5439
HG03821	0.875	0.2907
HG03823	0.5369	0.1182
HG03824	2.7812	0.8099
HG03826	1.3395	0.4848
HG03829	2.2819	0.7328
HG03830	1.6767	0.601
HG03832	2.0784	0.6965
HG03833	2.4998	0.7724
HG03836	10.6494	0.9916
HG03837	1.0858	0.379
HG03838	1.2129	0.4257
HG03844	1.9542	0.6741
HG03846	1.1989	0.4193
HG03848	1.2339	0.4361
HG03849	0.6009	0.1474
HG03850	1.7333	0.6158
HG03851	1.4711	0.5292
HG03854	1.2654	0.4505
HG03856	3.7151	0.8858
HG03857	2.796	0.8119
HG03858	3.4117	0.8646
HG03861	0.479	0.0974
HG03862	0.8379	0.276
HG03863	0.899	0.3047
HG03864	1.6988	0.6074
HG03866	1.0336	0.3578
HG03867	1.4138	0.5096
HG03868	1.259	0.4461
HG03869	1.8329	0.6422
HG03870	0.8519	0.2808
HG03871	4.7966	0.9357
HG03872	8.5369	0.9864
HG03873	0.7218	0.2157
HG03874	2.6109	0.7907
HG03875	0.8212	0.268
HG03882	2.6216	0.7923
HG03884	2.6759	0.7971
HG03885	0.9393	0.3187
HG03886	1.9636	0.6761
HG03887	0.2794	0.0144
HG03888	2.9136	0.8251
HG03890	3.5173	0.8734
HG03894	2.1238	0.7065
HG03895	0.6621	0.1785
HG03896	1.7138	0.611
HG03897	0.4563	0.0847
HG03898	1.8697	0.6486
HG03899	1.8681	0.6482
HG03900	0.7353	0.2228
HG03902	1.4061	0.5084
HG03905	1.53	0.5523
HG03907	0.8196	0.2672
HG03908	14.9932	0.9976
HG03910	5.7563	0.9569
HG03911	0.4977	0.103
HG03913	1.4528	0.5244
HG03914	2.3979	0.754
HG03916	0.8337	0.2744
HG03917	1.684	0.603
HG03919	1.3246	0.4768
HG03920	2.8114	0.8147
HG03922	0.9205	0.3127
HG03925	0.8649	0.2855
HG03926	5.2148	0.9457
HG03928	1.4717	0.5296
HG03931	4.6094	0.9301
HG03934	5.7759	0.9577
HG03937	6.2865	0.9637
HG03940	2.0152	0.6833
HG03941	0.9391	0.3183
HG03943	2.3965	0.7532
HG03944	0.3882	0.0519
HG03945	4.7956	0.9353
HG03947	1.5524	0.5603
HG03949	1.9774	0.6801
HG03950	0.8798	0.2927
HG03951	1.4588	0.526
HG03953	4.6186	0.9321
HG03955	6.3085	0.9641
HG03960	1.8327	0.6418
HG03963	1.056	0.3666
HG03965	2.3535	0.746
HG03967	1.2074	0.4233
HG03968	5.4767	0.9497
HG03969	1.7179	0.6134
HG03971	1.286	0.4617
HG03973	0.7209	0.2141
HG03974	1.3008	0.4657
HG03976	3.8985	0.8986
HG03977	3.5117	0.873
HG03978	1.4057	0.508
HG03985	2.3083	0.7364
HG03986	2.3083	0.7364
HG03989	0.4302	0.0699
HG03990	0.743	0.2276
HG03991	0.5023	0.105
HG03995	2.4206	0.758
HG03998	0.5652	0.1282
HG03999	0.7449	0.2288
HG04001	3.8822	0.8974
HG04002	1.6322	0.5875
HG04003	2.1656	0.7141
HG04006	2.3425	0.7448
HG04014	1.7496	0.6202
HG04015	0.7243	0.2177
HG04017	2.4766	0.768
HG04018	0.9446	0.3227
HG04019	1.5917	0.5727
HG04020	2.2972	0.7348
HG04022	0.9193	0.3111
HG04023	1.5268	0.5507
HG04025	23.1918	0.9988
HG04026	6.5962	0.9692
HG04029	3.0508	0.8387
HG04033	2.531	0.7768
HG04035	0.7291	0.22
HG04038	0.8981	0.3043
HG04039	1.042	0.3606
HG04042	0.3067	0.0216
HG04047	2.0077	0.6825
HG04054	0.3503	0.0359
HG04056	0.4158	0.0643
HG04059	0.7468	0.2296
HG04060	0.6423	0.1661
HG04061	7.1471	0.9756
HG04062	9.0784	0.9884
HG04063	0.8483	0.28
HG04070	0.9858	0.3399
HG04075	1.9733	0.6789
HG04076	2.9429	0.8295
HG04080	0.7422	0.2264
HG04090	2.588	0.7863
HG04093	1.8819	0.653
HG04094	1.2997	0.4653
HG04096	4.382	0.9201
HG04098	5.8457	0.9597
HG04099	4.3601	0.9185
HG04100	0.8112	0.2632
HG04106	2.0878	0.7001
HG04107	1.7796	0.6254
HG04118	6.8682	0.9716
HG04131	12.9942	0.9948
HG04134	1.3653	0.494
HG04140	1.2073	0.4229
HG04141	5.109	0.9433
HG04144	2.3382	0.7424
HG04146	0.5253	0.1138
HG04152	0.4475	0.0779
HG04153	3.2333	0.853
HG04155	0.6349	0.1633
HG04156	1.7153	0.6122
HG04158	0.4338	0.0707
HG04159	1.15	0.4018
HG04161	1.902	0.6597
HG04162	1.823	0.6382
HG04164	0.8967	0.3035
HG04171	4.3719	0.9193
HG04173	2.6754	0.7963
HG04176	4.1276	0.9101
HG04177	1.2432	0.4405
HG04180	2.9233	0.8259
HG04182	1.5661	0.5643
HG04183	0.734	0.222
HG04185	7.7153	0.9808
HG04186	2.0701	0.6949
HG04188	7.0336	0.9744
HG04189	0.8859	0.2963
HG04194	1.8761	0.6506
HG04195	1.3844	0.5008
HG04198	0.7404	0.226
HG04200	0.8331	0.2736
HG04202	4.2922	0.9153
HG04206	0.7679	0.2412
HG04209	0.6454	0.1697
HG04210	7.1071	0.9748
HG04211	3.144	0.8466
HG04212	0.6842	0.1905
HG04214	2.7039	0.8007
HG04216	1.7809	0.6258
HG04219	0.7283	0.2196
HG04222	3.8221	0.8922
HG04225	2.1219	0.7057
HG04227	2.0364	0.6873
HG04229	6.9296	0.9724
HG04235	2.0788	0.6969
HG04238	2.8809	0.8223
HG04239	5.131	0.9445
NA06984	2.4667	0.766
NA06985	1.08	0.3766
NA06986	2.2105	0.7216
NA06989	1.1954	0.4181
NA06994	0.764	0.2396
NA07000	0.517	0.1094
NA07037	1.3332	0.4816
NA07048	13.9964	0.9964
NA07051	0.9872	0.3403
NA07056	2.6041	0.7903
NA07347	0.5007	0.1046
NA07357	2.5666	0.7835
NA10847	7.016	0.9736
NA10851	0.232	0.0084
NA11829	1.3939	0.5052
NA11830	1.26	0.4473
NA11831	0.3463	0.0343
NA11832	0.795	0.2536
NA11840	0.5414	0.1198
NA11843	1.6798	0.6018
NA11881	0.3648	0.0419
NA11892	0.4868	0.0998
NA11893	0.3302	0.0272
NA11894	0.8715	0.2895
NA11918	1.6046	0.5779
NA11919	2.2351	0.7244
NA11920	0.4159	0.0647
NA11930	2.6528	0.7955
NA11931	0.4504	0.0811
NA11932	1.277	0.4585
NA11933	2.1436	0.7105
NA11992	0.7963	0.2552
NA11994	0.9515	0.3263
NA11995	1.4351	0.5168
NA12003	0.5917	0.141
NA12004	1.4836	0.5331
NA12005	4.9446	0.9389
NA12006	3.4117	0.8646
NA12043	1.3079	0.4724
NA12044	1.5895	0.5723
NA12045	0.9998	0.345
NA12046	1.1611	0.4058
NA12058	0.4586	0.0863
NA12144	2.5544	0.7808
NA12154	7.336	0.9784
NA12155	2.7588	0.8067
NA12156	0.6441	0.1681
NA12234	1.956	0.6745
NA12249	0.5962	0.1442
NA12272	7.1079	0.9752
NA12273	3.2996	0.8558
NA12275	1.877	0.6522
NA12282	1.1119	0.3886
NA12283	1.1205	0.3902
NA12286	0.6599	0.1765
NA12287	1.4897	0.5359
NA12340	1.6284	0.5863
NA12341	1.4589	0.5264
NA12342	0.816	0.266
NA12347	0.6659	0.1801
NA12348	0.5096	0.1066
NA12383	2.9588	0.8307
NA12399	1.9689	0.6781
NA12400	4.4544	0.9237
NA12413	0.3094	0.0224
NA12414	0.6973	0.1981
NA12489	0.6872	0.1933
NA12546	0.9384	0.3175
NA12716	2.4525	0.7628
NA12717	0.7077	0.2057
NA12718	1.0366	0.3594
NA12748	2.7281	0.8027
NA12749	1.0849	0.3786
NA12750	0.6862	0.1917
NA12751	2.1234	0.7061
NA12760	2.3032	0.736
NA12761	7.1829	0.9768
NA12762	1.553	0.5611
NA12763	6.5502	0.9681
NA12775	0.9526	0.3271
NA12776	0.8586	0.2835
NA12777	0.3939	0.0547
NA12778	2.062	0.6933
NA12812	5.7185	0.9565
NA12813	1.1589	0.405
NA12814	0.866	0.2871
NA12815	5.5533	0.9509
NA12827	2.5943	0.7879
NA12828	2.5615	0.7823
NA12829	0.4065	0.0599
NA12830	2.5118	0.7744
NA12842	0.498	0.1034
NA12843	1.8049	0.6326
NA12872	1.4266	0.5136
NA12873	1.2415	0.4397
NA12874	0.7622	0.2384
NA12878	3.4065	0.8638
NA12889	0.815	0.2648
NA12890	0.1953	0.004
NA18486	1.7063	0.6094
NA18488	3.5773	0.8778
NA18489	0.9046	0.3067
NA18498	2.932	0.8283
NA18499	1.778	0.625
NA18501	1.4944	0.5395
NA18502	2.8599	0.8199
NA18504	1.6514	0.5923
NA18505	3.5505	0.875
NA18507	2.4968	0.772
NA18508	1.4942	0.5391
NA18510	5.5991	0.9517
NA18511	2.0534	0.6893
NA18516	1.4421	0.5192
NA18517	3.3781	0.8618
NA18519	4.15	0.9113
NA18520	3.8034	0.891
NA18522	2.6501	0.7943
NA18523	13.9461	0.996
NA18525	0.2776	0.014
NA18526	0.2481	0.0104
NA18528	1.8671	0.6478
NA18530	0.7	0.2001
NA18531	1.3578	0.4908
NA18532	0.4374	0.0715
NA18533	0.4548	0.0831
NA18534	1.2265	0.4325
NA18535	0.9543	0.3283
NA18536	0.5901	0.1402
NA18537	0.6024	0.1478
NA18538	0.4181	0.0663
NA18539	2.7481	0.8055
NA18541	0.7941	0.2524
NA18542	1.6213	0.5839
NA18543	1.8216	0.637
NA18544	0.1735	0.0012
NA18545	0.4578	0.0855
NA18546	0.6982	0.1989
NA18547	0.3037	0.02
NA18548	0.3682	0.0427
NA18549	0.5907	0.1406
NA18550	0.7615	0.2376
NA18552	0.8705	0.2887
NA18553	0.7355	0.2232
NA18555	0.9418	0.3207
NA18557	0.234	0.0088
NA18558	0.2385	0.0096
NA18559	0.4403	0.0727
NA18560	1.7828	0.6262
NA18561	1.1649	0.4073
NA18562	1.4822	0.5319
NA18563	0.9328	0.3155
NA18564	2.1667	0.7145
NA18565	1.0182	0.353
NA18566	0.6699	0.1825
NA18567	1.5638	0.5631
NA18570	0.5362	0.1178
NA18571	0.4478	0.0783
NA18572	0.5963	0.1446
NA18573	1.5998	0.5755
NA18574	1.3862	0.502
NA18577	3.1155	0.8446
NA18579	0.3487	0.0351
NA18582	0.357	0.0379
NA18591	0.8158	0.2656
NA18592	0.2714	0.0132
NA18593	0.6635	0.1793
NA18595	0.6932	0.1957
NA18596	0.4344	0.0711
NA18597	0.6177	0.155
NA18599	0.8893	0.2987
NA18602	0.3741	0.0443
NA18603	1.0505	0.365
NA18605	0.6982	0.1989
NA18606	2.9889	0.8319
NA18608	0.4124	0.0623
NA18609	0.951	0.3259
NA18610	1.9375	0.6693
NA18611	0.6955	0.1969
NA18612	0.4708	0.0927
NA18613	1.0979	0.3822
NA18614	3.8547	0.895
NA18615	1.1094	0.3878
NA18616	0.3287	0.0264
NA18617	2.1837	0.7173
NA18618	0.2618	0.012
NA18619	0.4163	0.0651
NA18620	0.6136	0.153
NA18621	0.3619	0.0395
NA18622	1.3235	0.4756
NA18623	0.9426	0.3219
NA18624	2.4895	0.7708
NA18625	0.5678	0.129
NA18626	1.6421	0.5899
NA18627	1.3864	0.5024
NA18628	0.187	0.002
NA18629	0.3292	0.0268
NA18630	0.4975	0.1026
NA18631	2.4635	0.7656
NA18632	1.3505	0.4892
NA18633	0.6554	0.1749
NA18634	0.7655	0.2404
NA18635	1.2428	0.4401
NA18636	0.3125	0.0232
NA18637	0.8346	0.2752
NA18638	0.7911	0.2516
NA18639	1.5169	0.5483
NA18640	0.5471	0.1234
NA18641	0.7903	0.2504
NA18642	0.7433	0.228
NA18643	1.5413	0.5555
NA18644	0.521	0.1106
NA18645	0.7956	0.254
NA18646	0.3441	0.0327
NA18647	0.277	0.0136
NA18648	1.0117	0.3506
NA18740	0.64	0.1645
NA18745	0.3846	0.0495
NA18747	1.5599	0.5619
NA18748	0.7123	0.2093
NA18749	1.0784	0.3758
NA18757	0.9924	0.3431
NA18853	1.2332	0.4357
NA18856	2.3558	0.7476
